event-id,visible,timestamp,location-long,location-lat,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name,utm-easting,utm-northing,utm-zone,study-timezone,study-local-timestamp
7980514089,TRUE,20:00.0,15.94705302,-19.16133219,gps,Loxodonta africana,AG009,LA3,African elephants in Etosha National Park (data from Tsalyuk et al. 2018),599584.3533,7881051.183,33S,Central African Time,20:00.0
7980514090,TRUE,00:00.0,15.94784546,-19.16188151,gps,Loxodonta africana,AG009,LA3,African elephants in Etosha National Park (data from Tsalyuk et al. 2018),599667.3557,7880989.942,33S,Central African Time,00:00.0
7980514091,TRUE,20:00.0,15.94818522,-19.16233521,gps,Loxodonta africana,AG009,LA3,African elephants in Etosha National Park (data from Tsalyuk et al. 2018),599702.8118,7880939.541,33S,Central African Time,20:00.0
7980514092,TRUE,21:00.0,15.94820455,-19.16235758,gps,Loxodonta africana,AG009,LA3,African elephants in Etosha National Park (data from Tsalyuk et al. 2018),599704.8311,7880937.055,33S,Central African Time,21:00.0
7980514093,TRUE,41:00.0,15.94841105,-19.16246745,gps,Loxodonta africana,AG009,LA3,African elephants in Etosha National Park (data from Tsalyuk et al. 2018),599726.4803,7880924.778,33S,Central African Time,41:00.0
7980514094,TRUE,40:00.0,15.95388896,-19.16568197,gps,Loxodonta africana,AG009,LA3,African elephants in Etosha National Park (data from Tsalyuk et al. 2018),600300.5863,7880565.914,33S,Central African Time,40:00.0
7980514095,TRUE,40:00.0,15.97437236,-19.16140951,gps,Loxodonta africana,AG009,LA3,African elephants in Etosha National Park (data from Tsalyuk et al. 2018),602457.1997,7881026.814,33S,Central African Time,40:00.0
7980514096,TRUE,21:00.0,15.98426615,-19.19688314,gps,Loxodonta africana,AG009,LA3,African elephants in Etosha National Park (data from Tsalyuk et al. 2018),603475.4752,7877095.364,33S,Central African Time,21:00.0
7980514097,TRUE,20:00.0,15.98006185,-19.20062663,gps,Loxodonta africana,AG009,LA3,African elephants in Etosha National Park (data from Tsalyuk et al. 2018),603031.1144,7876683.59,33S,Central African Time,20:00.0
7980514098,TRUE,21:00.0,15.98005981,-19.20065511,gps,Loxodonta africana,AG009,LA3,African elephants in Etosha National Park (data from Tsalyuk et al. 2018),603030.8821,7876680.44,33S,Central African Time,21:00.0
7980514099,TRUE,41:00.0,15.98044535,-19.20090739,gps,Loxodonta africana,AG009,LA3,African elephants in Etosha National Park (data from Tsalyuk et al. 2018),603071.2588,7876652.294,33S,Central African Time,41:00.0
7980514100,TRUE,20:00.0,15.98009237,-19.20078939,gps,Loxodonta africana,AG009,LA3,African elephants in Etosha National Park (data from Tsalyuk et al. 2018),603034.2217,7876665.561,33S,Central African Time,20:00.0
7980514101,TRUE,41:00.0,15.98041992,-19.20125326,gps,Loxodonta africana,AG009,LA3,African elephants in Etosha National Park (data from Tsalyuk et al. 2018),603068.3698,7876614.034,33S,Central African Time,41:00.0
7980514102,TRUE,01:00.0,15.98013509,-19.2006958,gps,Loxodonta africana,AG009,LA3,African elephants in Etosha National Park (data from Tsalyuk et al. 2018),603038.7714,7876675.892,33S,Central African Time,01:00.0
7980514103,TRUE,20:00.0,15.9799174,-19.20041911,gps,Loxodonta africana,AG009,LA3,African elephants in Etosha National Park (data from Tsalyuk et al. 2018),603016.0567,7876706.64,33S,Central African Time,20:00.0
7980514104,TRUE,00:00.0,15.99487101,-19.16447347,gps,Loxodonta africana,AG009,LA3,African elephants in Etosha National Park (data from Tsalyuk et al. 2018),604610.9103,7880675.587,33S,Central African Time,00:00.0
7980514105,TRUE,20:00.0,15.96589559,-19.16058146,gps,Loxodonta africana,AG009,LA3,African elephants in Etosha National Park (data from Tsalyuk et al. 2018),601566.2905,7881123.403,33S,Central African Time,20:00.0
7980514106,TRUE,21:00.0,15.96377157,-19.16043498,gps,Loxodonta africana,AG009,LA3,African elephants in Etosha National Park (data from Tsalyuk et al. 2018),601343.0174,7881140.847,33S,Central African Time,21:00.0
7980514107,TRUE,21:00.0,15.95916341,-19.16368815,gps,Loxodonta africana,AG009,LA3,African elephants in Etosha National Park (data from Tsalyuk et al. 2018),600856.4435,7880783.514,33S,Central African Time,21:00.0
7980514108,TRUE,21:00.0,15.95553589,-19.16534424,gps,Loxodonta africana,AG009,LA3,African elephants in Etosha National Park (data from Tsalyuk et al. 2018),600473.9768,7880602.34,33S,Central African Time,21:00.0
7980514109,TRUE,00:00.0,15.95238444,-19.16259155,gps,Loxodonta africana,AG009,LA3,African elephants in Etosha National Park (data from Tsalyuk et al. 2018),600144.2421,7880908.77,33S,Central African Time,00:00.0
7980514110,TRUE,21:00.0,15.95103353,-19.16532593,gps,Loxodonta africana,AG009,LA3,African elephants in Etosha National Park (data from Tsalyuk et al. 2018),600000.5332,7880606.953,33S,Central African Time,21:00.0
7980514111,TRUE,41:00.0,15.95118306,-19.16628825,gps,Loxodonta africana,AG009,LA3,African elephants in Etosha National Park (data from Tsalyuk et al. 2018),600015.6769,7880500.375,33S,Central African Time,41:00.0
7980514112,TRUE,01:00.0,15.95080261,-19.16609497,gps,Loxodonta africana,AG009,LA3,African elephants in Etosha National Park (data from Tsalyuk et al. 2018),599975.7867,7880521.982,33S,Central African Time,01:00.0
7980514113,TRUE,41:00.0,15.95061035,-19.16719157,gps,Loxodonta africana,AG009,LA3,African elephants in Etosha National Park (data from Tsalyuk et al. 2018),599954.9082,7880400.74,33S,Central African Time,41:00.0
7980514114,TRUE,40:00.0,15.95104065,-19.16717733,gps,Loxodonta africana,AG009,LA3,African elephants in Etosha National Park (data from Tsalyuk et al. 2018),600000.1653,7880402.07,33S,Central African Time,40:00.0
7980514115,TRUE,21:00.0,15.95150045,-19.16751099,gps,Loxodonta africana,AG009,LA3,African elephants in Etosha National Park (data from Tsalyuk et al. 2018),600048.3146,7880364.883,33S,Central African Time,21:00.0
7980514116,TRUE,00:00.0,15.9514506,-19.16773682,gps,Loxodonta africana,AG009,LA3,African elephants in Etosha National Park (data from Tsalyuk et al. 2018),600042.9363,7880339.92,33S,Central African Time,00:00.0
7980514117,TRUE,40:00.0,15.9537679,-19.16811523,gps,Loxodonta africana,AG009,LA3,African elephants in Etosha National Park (data from Tsalyuk et al. 2018),600286.3842,7880296.715,33S,Central African Time,40:00.0
7980514118,TRUE,41:00.0,15.95377502,-19.16811117,gps,Loxodonta africana,AG009,LA3,African elephants in Etosha National Park (data from Tsalyuk et al. 2018),600287.1354,7880297.16,33S,Central African Time,41:00.0
7980514119,TRUE,20:00.0,15.9532959,-19.1693807,gps,Loxodonta africana,AG009,LA3,African elephants in Etosha National Park (data from Tsalyuk et al. 2018),600235.9858,7880156.946,33S,Central African Time,20:00.0
7980514120,TRUE,40:00.0,15.95317485,-19.16967163,gps,Loxodonta africana,AG009,LA3,African elephants in Etosha National Park (data from Tsalyuk et al. 2018),600223.081,7880124.821,33S,Central African Time,40:00.0
7980514121,TRUE,21:00.0,15.9522227,-19.17028809,gps,Loxodonta africana,AG009,LA3,African elephants in Etosha National Park (data from Tsalyuk et al. 2018),600122.586,7880057.149,33S,Central African Time,21:00.0
7980514122,TRUE,00:00.0,15.95131836,-19.17097982,gps,Loxodonta africana,AG009,LA3,African elephants in Etosha National Park (data from Tsalyuk et al. 2018),600027.0738,7879981.12,33S,Central African Time,00:00.0
7980514123,TRUE,01:00.0,15.94874064,-19.17219645,gps,Loxodonta africana,AG009,LA3,African elephants in Etosha National Park (data from Tsalyuk et al. 2018),599755.2858,7879847.961,33S,Central African Time,01:00.0
7980514124,TRUE,41:00.0,15.9469574,-19.17197062,gps,Loxodonta africana,AG009,LA3,African elephants in Etosha National Park (data from Tsalyuk et al. 2018),599567.9092,7879873.971,33S,Central African Time,41:00.0
7980514125,TRUE,40:00.0,15.93650614,-19.17436117,gps,Loxodonta africana,AG009,LA3,African elephants in Etosha National Park (data from Tsalyuk et al. 2018),598467.5128,7879615.362,33S,Central African Time,40:00.0
7980514126,TRUE,01:00.0,15.92020264,-19.16425578,gps,Loxodonta africana,AG009,LA3,African elephants in Etosha National Park (data from Tsalyuk et al. 2018),596759.0866,7880742.759,33S,Central African Time,01:00.0
7980514127,TRUE,41:00.0,15.9332255,-19.16251831,gps,Loxodonta africana,AG009,LA3,African elephants in Etosha National Park (data from Tsalyuk et al. 2018),598129.5603,7880927.758,33S,Central African Time,41:00.0
7980514128,TRUE,41:00.0,15.93413289,-19.16168416,gps,Loxodonta africana,AG009,LA3,African elephants in Etosha National Park (data from Tsalyuk et al. 2018),598225.4739,7881019.556,33S,Central African Time,41:00.0
